Ministry of Defence,Office of the Chief of Defence Staff
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Skills Development Fund Ltd.
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Ceylon German Technical Training Institute
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Institute of Business Management and affiliated institutions
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",University of Vocational Technology
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Sri Lanka Institute of Printing
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Institute of Fisheries and Nautical Engineering (Ocean University)
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Institute of Technical Education
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Department of Technical Education and Training
Ministry of Finance & Mass Media,General Treasury
Ministry of Finance & Mass Media,Department of Fiscal Policy
Ministry of Finance & Mass Media,Department of External Resources
Ministry of Finance & Mass Media,Department of National Budget
Ministry of Finance & Mass Media,Department of Public Enterprises
Ministry of Finance & Mass Media,Department of Public Finance
Ministry of Finance & Mass Media,Department of Treasury Operations
Ministry of Finance & Mass Media,Department of Public Accounts
Ministry of Finance & Mass Media,"Department of Trade, Tariff and Investment Policy"
Ministry of Finance & Mass Media,Department of Development Finance
Ministry of Finance & Mass Media,Department of Information Technology Management
Ministry of Finance & Mass Media,Department of Legal Affairs
Ministry of Finance & Mass Media,Department of Management Services
Ministry of Finance & Mass Media,Department of Management Audit
Ministry of Finance & Mass Media,Comptroller General Office
Ministry of Finance & Mass Media,Welfare Benefits Board
Ministry of Finance & Mass Media,Department of Project Management and Monitoring
Ministry of Finance & Mass Media,Department of Inland Revenue
Ministry of Finance & Mass Media,Department of Valuation
Ministry of Finance & Mass Media,Sri Lanka Customs
Ministry of Finance & Mass Media,Department of Excise
Ministry of Finance & Mass Media,Insurance Board of Sri Lanka
Ministry of Finance & Mass Media,Sri Lanka Accounting and Auditing Standards Monitoring Board
Ministry of Finance & Mass Media,Public Service Mutual Provident Association
Ministry of Finance & Mass Media,Lady Lachore Fund
Ministry of Finance & Mass Media,Tax Appeals Commission
Ministry of Finance & Mass Media,Sri Lanka Export Credit Insurance Corporation
Ministry of Finance & Mass Media,Central Bank of Sri Lanka
Ministry of Finance & Mass Media,All State Banks and their Subsidiaries and associated companies. (except Housing Finance Development Bank)
Ministry of Finance & Mass Media,Securities and Exchange Commission
Ministry of Finance & Mass Media,Credit Information Bureau
Ministry of Finance & Mass Media,Hotel Developers (Lanka) PLC (PQ143)
Ministry of Finance & Mass Media,National Lotteries Board
Ministry of Finance & Mass Media,Development Lotteries Board
Ministry of Finance & Mass Media,"Sri Lanka Insurance Corporation and its Subsidiaries and associated companies, including Litro Gas Lanka Limited & Gas Terminal Lanka (Private) Limited"
Ministry of Finance & Mass Media,National Insurance Trust Fund
Ministry of Finance & Mass Media,"Strike, Riot, Civil Commotion and Terrorism Fund"
Ministry of Finance & Mass Media,Academy of Financial Studies (Miloda)
Ministry of Finance & Mass Media,Public Management Corporation
Ministry of Finance & Mass Media,Department of Information
Ministry of Finance & Mass Media,Sri Lanka Press Council
Ministry of Finance & Mass Media,Sri Lanka Broadcasting Corporation
Ministry of Finance & Mass Media,Sri Lanka Rupavahini Corporation
Ministry of Finance & Mass Media,Independent Television Network
Ministry of Finance & Mass Media,Associated Newspapers of Ceylon Ltd.
Ministry of Finance & Mass Media,Lanka Puwath Ltd.
Ministry of Finance & Mass Media,Salacine Rupavahini Institute
Ministry of Finance & Mass Media,Right to Information Commission
Ministry of Finance & Mass Media,Mahinda Rajapaksa National Telecinema Park (Ranmihithenna)
Ministry of Finance & Mass Media,Public Utilities Commission of Sri Lanka
Ministry of Plantation Industries,Department of Rubber Development
Ministry of Plantation Industries,National Institute of Plantation Management
Ministry of Plantation Industries,Sri Lanka Tea Board
Ministry of Plantation Industries,Tea Small Holdings Development Authority
Ministry of Plantation Industries,Tea and Rubber Estates (Control and Fragmentation) Board
Ministry of Plantation Industries,Tea Shakthi Fund
Ministry of Plantation Industries,Thurusaviya Fund
Ministry of Plantation Industries,Kapruka Fund
Ministry of Plantation Industries,Tea Research Institute
Ministry of Plantation Industries,Rubber Research Institute
Ministry of Plantation Industries,Sugarcane Research Institute
Ministry of Plantation Industries,Coconut Development Authority
Ministry of Plantation Industries,Coconut Cultivation Board
Ministry of Plantation Industries,Coconut Research Institute
Ministry of Plantation Industries,Kalubovitiyana Tea Factory Ltd.
Ministry of Plantation Industries,Sri Lanka Rubber Manufacturing and Export Corporation
Ministry of Plantation Industries,Janatha Estate Development Board
Ministry of Plantation Industries,Sri Lanka State Plantation Corporation
Ministry of Plantation Industries,Elkaduwa Plantation Company Ltd.
Ministry of Plantation Industries,Galoya Plantation (Pvt.) Company
Ministry of Plantation Industries,Sri Lanka Cashew Corporation
Ministry of Plantation Industries,Hingurana Sugar Industry Ltd.
Ministry of Plantation Industries,Ceylon Sugar (Pvt.) Ltd.
Ministry of Plantation Industries,Kantale Sugar Company Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Agriculture
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Agrarian Development
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Fertilizer Secretariat
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Agriculture and Agrarian Insurance Board
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Food Promotion Board
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Hector Kobbekaduwa Agrarian Research and Training Institute
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Sri Lanka Council for Agricultural Research Policy
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Institute of Post Harvest Technology
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Ceylon Fertilizer Company Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Colombo Commercial Fertilizer Company
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Janatha Fertilizer Enterprises Ltd
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Lanka Phosphate Company Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Paddy Marketing Board
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Agricultural Diversification and Settlement Authority (Hadabima Authority)
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Fisheries and Aquatic Resources
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Aquaculture Development Authority
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Ceylon Fishery Harbours Corporation
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Cey-Nor Foundation (Pvt.) Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Ceylon Fisheries Corporation
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Aquatic Resources Research and Development Agency
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Rural Resuscitation Fund
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Rural Economic Resuscitation Fund (Finance)
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Janadiriya Fund (Gramodaya Mandala Fund)
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Animal Production and Health
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",National Livestock Development Board and associated companies
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Milco (Pvt) Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Mahaweli Livestock Enterprises (Pvt.) Ltd.
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Regional Economic Centres
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Department of Irrigation
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Water Resources Board
"Ministry of Agriculture, Rural Economic Affairs, Livestock Development, Irrigation and Fisheries & Aquatic Resources Development",Project for minimizing the adverse climate impact
Ministry of Public Administration & Disaster Management,Sri Lanka Institute of Development Administration
Ministry of Public Administration & Disaster Management,Distance Learning Centre Ltd.
Ministry of Public Administration & Disaster Management,Department of Pensions
Ministry of Public Administration & Disaster Management,Public Service Pensioners' Trust Fund
Ministry of Public Administration & Disaster Management,Productivity Secretariat
Ministry of Public Administration & Disaster Management,National Disaster Management Council
Ministry of Public Administration & Disaster Management,Disaster Management Centre
Ministry of Public Administration & Disaster Management,National Disaster Relief Services Centre
Ministry of Public Administration & Disaster Management,Department of Metereology
Ministry of Public Administration & Disaster Management,National Building Research Organization
"Ministry of Labour, Trade Union Relations and Social Empowerment->Ministry of Primary Industries and Social Empowerment",Department of Export Agriculture
Ministry of Primary Industries and Social Empowerment,Spices and Allied Products Marketing Board
Ministry of Primary Industries and Social Empowerment,National Institute of Social Development
Ministry of Primary Industries and Social Empowerment,Department of Divineguma Development
Ministry of Primary Industries and Social Empowerment,Rural Development Training and Research Institute
Ministry of Primary Industries and Social Empowerment,Social Security Board
Ministry of Primary Industries and Social Empowerment,Department of Social Services
Ministry of Primary Industries and Social Empowerment,National Secretariat for Elders and National Council for Elders
Ministry of Primary Industries and Social Empowerment,National Secretariat for Persons with Disabilities
Ministry of Primary Industries and Social Empowerment,National Council for Persons with Disabilities
