Ministry of Fisheries and Aquatic Resources Development,Department of Fisheries and Aquatic Resources
Ministry of Fisheries and Aquatic Resources Development,National Aquaculture Development Authority
Ministry of Fisheries and Aquatic Resources Development,Ceylon Fishery Harbours Corporation
Ministry of Fisheries and Aquatic Resources Development,Cey-Nor Foundation Ltd.
Ministry of Fisheries and Aquatic Resources Development,Ceylon Fisheries Corporation
Ministry of Fisheries and Aquatic Resources Development,"National Aquatic Resources, Research and Development Agency"
Ministry of Irrigation,Department of Irrigation
Ministry of Irrigation,Water Resources Board
Ministry of Irrigation,Riverine Bambo Project
Ministry of Higher Education and Research,University Grants Commission
Ministry of Higher Education and Research,All Universities coming under the purview of University Grants Commission
Ministry of Higher Education and Research,All Postgraduate institutions and other institutions coming under the purview of University Grants Commission
Ministry of Higher Education and Research,Buddhasravaka Bhikku University
Ministry of Higher Education and Research,Buddhist and Pali University
Ministry of Higher Education and Research,Sri Lanka Institute of Advanced Technological Education
Ministry of Higher Education and Research,Sri Lanka Institute of Information Technology (SLIIT) and all information technology centres affiliated to SLIIT
Ministry of Higher Education and Research,Sri Lanka Institute of Nanotechnology (Pvt.) Ltd.
Ministry of Higher Education and Research,National Research Council
Ministry of Higher Education and Research,National Institute of Fundamental Studies
Ministry of Higher Education and Research,National Science Foundation
Ministry of Higher Education and Research,National Science and Technology Commission
Ministry of Higher Education and Research,Planetarium
Ministry of Higher Education and Research,Arthur C. Clarke Centre for Modern Technology
Ministry of Higher Education and Research,Industrial Technology Institute
Ministry of Higher Education and Research,National Institute of Business Management
Ministry of Higher Education and Research,University of Vocational Technology
Ministry of Higher Education and Research,National Institute of Fisheries and Nautical Engineering (Ocean University)
Ministry of Labour,Department of Labour
Ministry of Labour,National Institute of Labour Studies
Ministry of Labour,Employees Provident Fund
Ministry of Labour,National Institute of Occupational Safety and Health
Ministry of Labour,Office of the Commissioner of Workmen’s Compensation
Ministry of Labour,Srama Vasana Fund
Ministry of Labour,Department of Manpower and Employment
Ministry of Labour,Sri Lanka Jobsnet Limited
Ministry of Parliamentary Affairs,
Ministry of Aviation,Civil Aviation Authority
Ministry of Aviation,Shipping and Aviation Information and Research(Pvt) Ltd.
Ministry of Aviation,Airport and Aviation Services (Sri Lanka) Ltd.
Ministry of Aviation,SriLankan Airlines Ltd and its Subsidiaries
Ministry of Aviation,Mihin Lanka (Pvt) Ltd.
Ministry of Skills Development and Vocational Training,Department of Technical Education and Training
Ministry of Skills Development and Vocational Training,Tertiary and Vocational Education Commission.
Ministry of Skills Development and Vocational Training,Vocational Training Authority of Sri Lanka
Ministry of Skills Development and Vocational Training,National Institute of Technical Education
Ministry of Skills Development and Vocational Training,National Apprenticeship and Industrial Training Authority
Ministry of Skills Development and Vocational Training,Sri Lanka Institute of Printers
Ministry of Skills Development and Vocational Training,Skills Development Fund Ltd.
Ministry of Skills Development and Vocational Training,Ceylon German Technical Training Institute
